round_number,draw_date,weekday,n3_rehearsal,n4_rehearsal,n3_winning,n4_winning
6256,2023-07-18,1,097,5241,990,1009
6255,2023-07-17,0,974,9760,961,8040
6254,2023-07-14,4,642,2175,611,5447
6253,2023-07-13,3,112,4647,801,0815
6252,2023-07-12,2,339,0179,951,8588
6251,2023-07-11,1,688,8766,621,0359
6250,2023-07-10,0,888,2799,230,9006
6249,2023-07-07,4,637,2903,362,4830
6248,2023-07-06,3,893,8092,108,7942
6247,2023-07-05,2,574,8446,692,5411
6246,2023-07-04,1,921,3899,040,1175
6245,2023-07-03,0,430,8164,758,2447
6244,2023-06-30,4,455,2774,804,9324
6243,2023-06-29,3,795,9098,220,9410
6242,2023-06-28,2,342,1899,490,6866
6241,2023-06-27,1,305,5103,987,9335
6240,2023-06-26,0,600,4586,838,8198
6239,2023-06-23,4,781,7452,724,1729
6238,2023-06-22,3,357,4952,950,0413
6237,2023-06-21,2,941,1170,547,2185
6236,2023-06-20,1,499,8127,557,3724
6235,2023-06-19,0,893,0299,423,2378
6234,2023-06-16,4,377,2362,486,9476
6233,2023-06-15,3,469,6776,857,4341
6232,2023-06-14,2,809,9894,650,5504
6231,2023-06-13,1,370,7421,511,2168
6230,2023-06-12,0,088,1360,079,7514
6229,2023-06-09,4,583,2776,558,0606
6228,2023-06-08,3,232,0503,666,1394
6227,2023-06-07,2,995,6843,647,1207
6226,2023-06-06,1,076,1308,393,3373
6225,2023-06-05,0,753,8034,037,5796
6224,2023-06-02,4,322,1880,233,0549
6223,2023-06-01,3,608,7494,294,7617
6222,2023-05-31,2,047,1246,750,2221
6221,2023-05-30,1,041,7906,094,1338
6220,2023-05-29,0,022,0247,279,6837
6219,2023-05-26,4,277,1742,532,7569
6218,2023-05-25,3,908,9918,659,1812
6217,2023-05-24,2,584,4645,019,5269
6216,2023-05-23,1,931,9826,687,9786
6215,2023-05-22,0,292,7143,524,8926
6214,2023-05-19,4,138,8990,544,8444
6213,2023-05-18,3,350,9262,715,7139
6212,2023-05-17,2,620,6987,466,4898
6211,2023-05-16,1,464,5158,801,0384
6210,2023-05-15,0,055,7211,011,4198
6209,2023-05-12,4,140,2494,610,5695
6208,2023-05-11,3,218,0048,422,9643
6207,2023-05-10,2,746,3712,377,7505
6206,2023-05-09,1,675,8977,694,1827
6205,2023-05-08,0,734,2954,133,8253
6204,2023-05-05,4,788,2558,767,3733
6203,2023-05-04,3,019,3084,237,7612
6202,2023-05-03,2,828,5658,074,6565
6201,2023-05-02,1,372,3159,968,6977
6200,2023-05-01,0,237,2806,000,4704
6199,2023-04-28,4,953,6083,499,8823
6198,2023-04-27,3,958,2784,639,7358
6197,2023-04-26,2,799,2613,137,8311
6196,2023-04-25,1,273,6602,501,3351
6195,2023-04-24,0,178,1679,833,1091
6194,2023-04-21,4,962,2371,810,5266
6193,2023-04-20,3,423,0120,850,8085
6192,2023-04-19,2,733,6655,453,6115
6191,2023-04-18,1,188,3466,298,5294
6190,2023-04-17,0,072,8297,309,4818
6189,2023-04-14,4,543,9788,267,9906
6188,2023-04-13,3,101,3959,705,9742
6187,2023-04-12,2,890,6651,157,2042
6186,2023-04-11,1,600,2617,056,7981
6185,2023-04-10,0,847,4855,827,6752
6184,2023-04-07,4,278,1962,945,9143
6183,2023-04-06,3,258,0317,852,2115
6182,2023-04-05,2,644,7211,866,1399
6181,2023-04-04,1,911,8705,226,2538
6180,2023-04-03,0,009,7815,265,7178
6179,2023-03-31,4,694,9631,979,0261
6178,2023-03-30,3,839,3025,315,7536
6177,2023-03-29,2,320,2389,252,0291
6176,2023-03-28,1,137,9526,923,8703
6175,2023-03-27,0,321,1614,401,1067
6174,2023-03-24,4,484,4243,741,0874
6173,2023-03-23,3,325,4439,599,1862
6172,2023-03-22,2,928,0932,384,3355
6171,2023-03-21,1,337,4163,385,3623
6170,2023-03-20,0,675,8344,802,9051
6169,2023-03-17,4,161,2046,311,4942
6168,2023-03-16,3,232,6366,598,9927
6167,2023-03-15,2,134,7052,846,2208
6166,2023-03-14,1,144,7497,783,6007
6165,2023-03-13,0,674,3588,090,3168
6164,2023-03-10,4,429,8682,517,7691
6163,2023-03-09,3,092,2140,284,4440
6162,2023-03-08,2,175,3482,304,7399
6161,2023-03-07,1,276,8386,290,6777
6160,2023-03-06,0,145,9748,818,8972
6159,2023-03-03,4,609,2006,156,6526
6158,2023-03-02,3,474,8568,902,8634
6157,2023-03-01,2,989,4985,179,9183
6156,2023-02-28,1,715,7188,241,4432
6155,2023-02-27,0,424,3107,395,0655
6154,2023-02-24,4,432,3307,184,2128
6153,2023-02-23,3,909,1156,383,9010
6152,2023-02-22,2,460,7517,782,5726
6151,2023-02-21,1,520,0018,418,8383
6150,2023-02-20,0,800,9127,366,7401
6149,2023-02-17,4,986,8414,529,4041
6148,2023-02-16,3,657,9168,908,9787
6147,2023-02-15,2,268,3489,889,9433
6146,2023-02-14,1,727,1137,741,3017
6145,2023-02-13,0,309,2577,340,7444
6144,2023-02-10,4,470,9414,528,9472
6143,2023-02-09,3,310,4810,963,6442
6142,2023-02-08,2,716,0990,891,8312
6141,2023-02-07,1,168,2697,860,4874
6140,2023-02-06,0,514,4509,040,4390
6139,2023-02-03,4,566,0534,303,1341
6138,2023-02-02,3,596,1766,028,1495
6137,2023-02-01,2,226,1781,291,4025
6136,2023-01-31,1,482,0457,493,5254
6135,2023-01-30,0,108,9034,913,8770
6134,2023-01-27,4,310,5238,658,8812
6133,2023-01-26,3,637,7248,962,5285
6132,2023-01-25,2,252,5224,591,2530
6131,2023-01-24,1,167,8428,654,6763
6130,2023-01-23,0,606,1349,301,4700
6129,2023-01-20,4,630,2203,790,3174
6128,2023-01-19,3,611,3013,942,4452
6127,2023-01-18,2,963,4462,905,6290
6126,2023-01-17,1,625,0525,861,2024
6125,2023-01-16,0,169,5925,249,8687
6124,2023-01-13,4,118,6233,076,7962
6123,2023-01-12,3,055,9702,810,0026
6122,2023-01-11,2,895,1751,182,9252
6121,2023-01-10,1,203,4608,046,4059
6120,2023-01-09,0,661,0395,864,7077
6119,2023-01-06,4,185,2652,927,6935
6118,2023-01-05,3,433,3592,349,9465
6117,2023-01-04,2,091,5409,586,0673
6116,2022-12-30,4,953,2572,558,1033
6115,2022-12-29,3,194,0335,459,2513
6114,2022-12-28,2,958,5953,146,9138
6113,2022-12-27,1,929,2131,861,1563
6112,2022-12-26,0,857,3898,092,9751
6111,2022-12-23,4,329,6694,669,7908
6110,2022-12-22,3,035,7879,055,0559
6109,2022-12-21,2,947,3522,105,7356
6108,2022-12-20,1,229,9853,755,4621
6107,2022-12-19,0,460,9184,351,2722
6106,2022-12-16,4,559,9428,293,8158
6105,2022-12-15,3,613,3692,563,9224
6104,2022-12-14,2,799,5369,860,5993
6103,2022-12-13,1,638,1500,706,0221
6102,2022-12-12,0,636,5641,884,2994
6101,2022-12-09,4,742,5486,334,8471
6100,2022-12-08,3,671,7353,685,6638
6099,2022-12-07,2,745,5763,628,5228
6098,2022-12-06,1,658,5542,545,2460
6097,2022-12-05,0,468,8455,507,2838
6096,2022-12-02,4,447,5756,386,8713
6095,2022-12-01,3,978,0473,975,3412
6094,2022-11-30,2,589,0017,433,9666
6093,2022-11-29,1,386,3207,118,6826
6092,2022-11-28,0,754,8297,027,1285
6091,2022-11-25,4,424,2818,404,3923
6090,2022-11-24,3,438,6349,371,8277
6089,2022-11-23,2,533,3862,049,2791
6088,2022-11-22,1,348,4967,659,2856
6087,2022-11-21,0,590,4431,032,1461
6086,2022-11-18,4,947,4549,652,3791
6085,2022-11-17,3,930,0556,027,8225
6084,2022-11-16,2,824,9285,520,9666
6083,2022-11-15,1,641,2782,290,2165
6082,2022-11-14,0,659,4940,354,3174
6081,2022-11-11,4,754,7535,358,5570
6080,2022-11-10,3,394,3790,062,4977
6079,2022-11-09,2,054,3018,371,0664
6078,2022-11-08,1,800,9055,705,5148
6077,2022-11-07,0,089,4992,526,5626
6076,2022-11-04,4,763,0776,912,6299
6075,2022-11-03,3,065,2566,231,1704
6074,2022-11-02,2,746,2016,646,0554
6073,2022-11-01,1,281,3563,440,8789
6072,2022-10-31,0,986,6102,927,3796
6071,2022-10-28,4,849,9937,733,2751
6070,2022-10-27,3,850,6152,346,8089
6069,2022-10-26,2,605,1082,348,1656
6068,2022-10-25,1,046,8712,501,5967
6067,2022-10-24,0,030,6058,158,9341
6066,2022-10-21,4,570,3540,130,1663
6065,2022-10-20,3,804,2675,789,8668
6064,2022-10-19,2,002,5513,300,9314
6063,2022-10-18,1,809,5845,941,9227
6062,2022-10-17,0,763,3745,069,4335
6061,2022-10-14,4,595,2754,338,7592
6060,2022-10-13,3,280,0434,219,1228
6059,2022-10-12,2,630,7601,103,8647
6058,2022-10-11,1,601,1313,279,5799
6057,2022-10-10,0,139,0918,071,7562
6056,2022-10-07,4,031,1020,697,2065
6055,2022-10-06,3,432,8540,200,6446
6054,2022-10-05,2,146,9843,226,0988
6053,2022-10-04,1,009,0980,302,7474
6052,2022-10-03,0,394,2608,610,1529
6051,2022-09-30,4,125,2017,183,1344
6050,2022-09-29,3,274,9861,636,4126
6049,2022-09-28,2,727,6473,946,7558
6048,2022-09-27,1,443,6959,247,7163
6047,2022-09-26,0,222,2299,450,2119
6046,2022-09-23,4,278,0758,366,7904
6045,2022-09-22,3,595,8399,821,3719
6044,2022-09-21,2,281,6872,803,0589
6043,2022-09-20,1,232,8103,679,7375
6042,2022-09-19,0,445,7306,502,4652
6041,2022-09-16,4,979,5200,797,8108
6040,2022-09-15,3,988,2808,396,4438
6039,2022-09-14,2,318,1777,358,4773
6038,2022-09-13,1,170,8222,013,3199
6037,2022-09-12,0,411,6679,065,4278
6036,2022-09-09,4,566,8149,467,4375
6035,2022-09-08,3,020,3703,809,5984
6034,2022-09-07,2,892,0306,172,6871
6033,2022-09-06,1,114,4798,870,0925
6032,2022-09-05,0,591,7105,721,1015
6031,2022-09-02,4,347,8530,509,5119
6030,2022-09-01,3,353,4074,671,1456
6029,2022-08-31,2,685,6933,665,8632
6028,2022-08-30,1,879,4674,804,4254
6027,2022-08-29,0,988,4284,254,7195
6026,2022-08-26,4,514,8841,378,7807
6025,2022-08-25,3,252,5460,855,4258
6024,2022-08-24,2,877,2673,440,0611
6023,2022-08-23,1,048,6743,250,1924
6022,2022-08-22,0,849,0591,210,1144
6021,2022-08-19,4,462,4238,001,0422
6020,2022-08-18,3,302,1278,612,7233
6019,2022-08-17,2,287,7148,236,7432
6018,2022-08-16,1,624,6802,437,7294
6017,2022-08-15,0,033,6554,735,1779
6016,2022-08-12,4,731,9750,444,0262
6015,2022-08-11,3,802,9779,443,9413
6014,2022-08-10,2,257,2490,776,1567
6013,2022-08-09,1,498,1932,370,0016
6012,2022-08-08,0,546,8394,801,7028
6011,2022-08-05,4,509,6771,621,9845
6010,2022-08-04,3,475,2057,241,8110
6009,2022-08-03,2,818,7453,224,6075
6008,2022-08-02,1,890,6791,735,7544
6007,2022-08-01,0,827,6787,183,1526
6006,2022-07-29,4,705,5125,312,0930
6005,2022-07-28,3,691,4398,502,7988
6004,2022-07-27,2,047,8645,386,4706
6003,2022-07-26,1,208,9062,971,9217
6002,2022-07-25,0,370,1540,661,1463
6001,2022-07-22,4,414,4306,495,6333
6000,2022-07-21,3,217,6990,829,0947
5999,2022-07-20,2,941,3078,299,4130
5998,2022-07-19,1,459,7140,873,4172
5997,2022-07-18,0,994,8136,199,9380
5996,2022-07-15,4,359,1656,907,1814
5995,2022-07-14,3,949,0791,908,8123
5994,2022-07-13,2,689,0679,118,3363
5993,2022-07-12,1,043,3726,916,0755
5992,2022-07-11,0,606,6903,525,9362
5991,2022-07-08,4,641,8209,162,8224
5990,2022-07-07,3,628,8336,383,7403
5989,2022-07-06,2,771,7677,191,5821
5988,2022-07-05,1,640,0440,281,1839
5987,2022-07-04,0,671,1921,215,8983
5986,2022-07-01,4,089,9771,753,5233
5985,2022-06-30,3,134,4841,393,1418
5984,2022-06-29,2,483,2350,560,5553
5983,2022-06-28,1,098,9210,248,7524
5982,2022-06-27,0,953,7335,690,7994
5981,2022-06-24,4,959,0433,233,1539
5980,2022-06-23,3,844,2057,149,7896
5979,2022-06-22,2,377,7523,850,2683
5978,2022-06-21,1,445,3256,374,9661
5977,2022-06-20,0,112,1099,872,8031
5976,2022-06-17,4,087,6092,100,5448
5975,2022-06-16,3,597,5302,764,0809
5974,2022-06-15,2,492,7968,494,9986
5973,2022-06-14,1,753,6840,036,1357
5972,2022-06-13,0,272,9366,284,0571
5971,2022-06-10,4,274,5808,954,3477
5970,2022-06-09,3,415,7363,882,4889
5969,2022-06-08,2,640,4185,260,1292
5968,2022-06-07,1,936,1198,301,1818
5967,2022-06-06,0,739,3197,840,5998
5966,2022-06-03,4,677,9919,241,8519
5965,2022-06-02,3,044,1312,425,0344
5964,2022-06-01,2,030,6357,293,3448
5963,2022-05-31,1,790,4058,415,0569
5962,2022-05-30,0,250,1590,210,1608
5961,2022-05-27,4,431,5393,523,0871
5960,2022-05-26,3,544,5128,314,8027
5959,2022-05-25,2,940,6575,519,7564
5958,2022-05-24,1,123,7574,942,6709
5957,2022-05-23,0,319,6801,314,0796
5956,2022-05-20,4,941,2334,238,9458
5955,2022-05-19,3,603,3272,563,4882
5954,2022-05-18,2,007,9015,216,9348
5953,2022-05-17,1,150,1960,752,2624
5952,2022-05-16,0,981,2304,791,3544
5951,2022-05-13,4,612,6348,640,9162
5950,2022-05-12,3,264,3661,668,9742
5949,2022-05-11,2,713,2804,258,9468
5948,2022-05-10,1,408,9533,207,7730
5947,2022-05-09,0,283,4086,609,3647
5946,2022-05-06,4,529,7127,649,6352
5945,2022-05-05,3,655,8977,589,4774
5944,2022-05-04,2,394,5222,332,4676
5943,2022-05-03,1,985,7113,485,3260
5942,2022-05-02,0,468,0139,697,1046
5941,2022-04-29,4,226,9545,430,9958
5940,2022-04-28,3,621,1629,846,2870
5939,2022-04-27,2,183,6399,927,8503
5938,2022-04-26,1,939,6230,052,0186
5937,2022-04-25,0,696,0966,734,3358
5936,2022-04-22,4,193,7005,766,4220
5935,2022-04-21,3,040,9970,872,8568
5934,2022-04-20,2,162,8635,210,6504
5933,2022-04-19,1,124,6481,138,7097
5932,2022-04-18,0,950,2025,192,3536
5931,2022-04-15,4,451,1026,145,2086
5930,2022-04-14,3,859,7844,654,5018
5929,2022-04-13,2,882,3221,892,4397
5928,2022-04-12,1,338,0479,600,2499
5927,2022-04-11,0,391,7495,155,2334
5926,2022-04-08,4,683,0896,194,2596
5925,2022-04-07,3,622,1858,157,2132
5924,2022-04-06,2,922,9094,279,0961
5923,2022-04-05,1,106,8986,788,8854
5922,2022-04-04,0,060,7000,328,9157
5921,2022-04-01,4,194,7136,750,1323
5920,2022-03-31,3,733,0389,971,6773
5919,2022-03-30,2,522,0036,324,6025
5918,2022-03-29,1,515,4909,099,6109
5917,2022-03-28,0,943,7738,845,2643
5916,2022-03-25,4,928,1188,277,7708
5915,2022-03-24,3,959,1378,521,9125
5914,2022-03-23,2,028,8432,869,8785
5913,2022-03-22,1,428,8984,082,9861
5912,2022-03-21,0,133,4218,909,6177
5911,2022-03-18,4,529,4844,279,9595
5910,2022-03-17,3,798,1346,154,4738
5909,2022-03-16,2,567,7733,239,5473
5908,2022-03-15,1,805,3913,677,5449
5907,2022-03-14,0,552,1763,323,5849
5906,2022-03-11,4,790,6774,189,2660
5905,2022-03-10,3,920,6992,494,2621
5904,2022-03-09,2,516,5692,288,1154
5903,2022-03-08,1,348,8726,275,9789
5902,2022-03-07,0,493,8432,997,9943
5901,2022-03-04,4,432,3591,732,2618
5900,2022-03-03,3,907,1990,653,4557
5899,2022-03-02,2,735,3365,934,0892
5898,2022-03-01,1,463,5279,098,0146
5897,2022-02-28,0,358,4803,484,9167
5896,2022-02-25,4,951,1554,745,9008
5895,2022-02-24,3,811,3289,692,9067
5894,2022-02-23,2,520,5632,185,7539
5893,2022-02-22,1,481,8108,070,6492
5892,2022-02-21,0,991,0010,147,3585
5891,2022-02-18,4,098,5922,008,3503
5890,2022-02-17,3,719,5685,412,4344
5889,2022-02-16,2,494,2334,831,9350
5888,2022-02-15,1,280,9510,584,1072
5887,2022-02-14,0,973,3418,053,4620
5886,2022-02-11,4,888,1292,089,7573
5885,2022-02-10,3,577,8577,497,3868
5884,2022-02-09,2,008,8255,711,5408
5883,2022-02-08,1,355,8377,770,6483
5882,2022-02-07,0,138,9432,702,6587
5881,2022-02-04,4,094,5872,583,9456
5880,2022-02-03,3,839,0007,248,6695
5879,2022-02-02,2,160,3383,836,0352
5878,2022-02-01,1,372,5602,029,0969
5877,2022-01-31,0,125,3052,789,5160
5876,2022-01-28,4,355,2162,098,8100
5875,2022-01-27,3,995,3429,649,6288
5874,2022-01-26,2,988,5046,708,1950
5873,2022-01-25,1,607,4363,201,9131
5872,2022-01-24,0,207,0383,652,2102
5871,2022-01-21,4,597,0855,638,0476
5870,2022-01-20,3,739,9024,357,6327
5869,2022-01-19,2,330,5635,681,6536
5868,2022-01-18,1,118,4199,308,3659
5867,2022-01-17,0,529,2881,793,8918
5866,2022-01-14,4,946,0903,772,8483
5865,2022-01-13,3,387,4892,598,3216
5864,2022-01-12,2,372,1627,084,6692
5863,2022-01-11,1,906,5711,941,3460
5862,2022-01-10,0,758,6768,346,5226
5861,2022-01-07,4,698,7731,373,6245
5860,2022-01-06,3,201,8638,503,9760
5859,2022-01-05,2,917,8176,927,6112
5858,2022-01-04,1,394,0709,659,1719
5857,2021-12-30,3,131,4709,161,6696
5856,2021-12-29,2,737,4559,688,9822
5855,2021-12-28,1,553,4205,087,5280
5854,2021-12-27,0,692,9715,247,0319
5853,2021-12-24,4,069,0807,130,5886
5852,2021-12-23,3,486,8544,129,9915
5851,2021-12-22,2,365,7399,137,7613
5850,2021-12-21,1,858,3582,849,5613
5849,2021-12-20,0,245,1743,453,3445
5828,2021-11-19,4,571,4880,651,1202
5827,2021-11-18,3,802,8481,400,6507
5826,2021-11-17,2,967,8231,278,2405
5825,2021-11-16,1,313,3833,286,1908
5824,2021-11-15,0,245,8425,727,6463
5823,2021-11-12,4,635,1149,303,3201
5822,2021-11-11,3,748,4569,962,7691
5821,2021-11-10,2,905,9319,146,2638
5820,2021-11-09,1,024,2121,323,5776
5819,2021-11-08,0,576,1089,577,0475
5818,2021-11-05,4,169,3713,927,5914
5817,2021-11-04,3,063,9021,042,7968
5816,2021-11-03,2,188,7902,569,3399
5815,2021-11-02,1,265,5133,207,6400
5814,2021-11-01,0,042,7063,907,7402
5813,2021-10-29,4,236,2850,484,5178
5812,2021-10-28,3,187,9442,929,2933
5811,2021-10-27,2,488,5476,312,2958
5810,2021-10-26,1,495,6918,237,8647
5809,2021-10-25,0,970,2370,368,5742
5808,2021-10-22,4,426,1869,812,3263
5807,2021-10-21,3,722,4825,326,9732
5806,2021-10-20,2,353,1109,634,9790
5805,2021-10-19,1,491,6058,737,7906
5804,2021-10-18,0,527,4201,492,4345
5803,2021-10-15,4,968,2892,875,2411
5802,2021-10-14,3,019,0436,121,6195
5801,2021-10-13,2,642,9395,825,1854
5800,2021-10-12,1,461,0563,975,0983
5799,2021-10-11,0,473,1848,029,3852
5798,2021-10-08,4,071,5041,664,2665
5797,2021-10-07,3,716,7242,176,4951
5796,2021-10-06,2,649,8464,968,7188
5795,2021-10-05,1,033,3544,723,8237
5794,2021-10-04,0,876,3144,958,9113
5793,2021-10-01,4,910,9445,204,3052
5792,2021-09-30,3,606,2691,043,0716
5791,2021-09-29,2,610,4208,737,0882
5790,2021-09-28,1,226,6157,370,0681
5789,2021-09-27,0,275,6931,714,3681
5788,2021-09-24,4,262,2873,271,6661
5787,2021-09-23,3,975,0323,360,2123
5786,2021-09-22,2,708,4433,459,7450
5785,2021-09-21,1,114,6520,525,0869
5784,2021-09-20,0,723,8694,395,2358
5783,2021-09-17,4,714,3043,196,7690
5782,2021-09-16,3,662,1108,351,8251
5781,2021-09-15,2,032,2409,009,5739
5780,2021-09-14,1,468,8885,652,5670
5779,2021-09-13,0,040,9272,017,2533
5778,2021-09-10,4,931,5853,106,5006
5777,2021-09-09,3,916,3550,525,4038
5776,2021-09-08,2,547,1022,613,5937
5775,2021-09-07,1,059,0546,610,3877
5774,2021-09-06,0,595,6163,323,0148
5773,2021-09-03,4,099,4858,204,6427
5772,2021-09-02,3,933,3476,453,4321
5771,2021-09-01,2,502,4723,648,2469
5770,2021-08-31,1,335,9879,320,5041
5769,2021-08-30,0,412,0715,864,1650
5768,2021-08-27,4,413,2615,797,8075
5767,2021-08-26,3,987,3631,360,9091
5766,2021-08-25,2,760,3500,314,5810
5765,2021-08-24,1,841,2058,471,4734
5764,2021-08-23,0,128,8494,026,9449
5763,2021-08-20,4,862,6659,669,6841
5762,2021-08-19,3,034,1275,219,0744
5761,2021-08-18,2,144,4861,635,0291
5760,2021-08-17,1,630,9191,151,4947
5759,2021-08-16,0,746,7342,812,4465
5758,2021-08-13,4,707,0949,842,7062
5757,2021-08-12,3,745,8547,712,0115
5756,2021-08-11,2,261,0985,515,1830
5755,2021-08-10,1,599,2610,633,9763
5754,2021-08-09,0,419,2085,862,2178
5753,2021-08-06,4,163,9860,753,2051
5752,2021-08-05,3,345,0798,202,8356
5751,2021-08-04,2,696,1783,949,0252
5750,2021-08-03,1,240,8365,385,1587
5749,2021-08-02,0,239,9627,543,7463
5748,2021-07-30,4,704,7506,502,0936
5747,2021-07-29,3,764,1678,423,3107
5746,2021-07-28,2,614,8763,829,6649
5745,2021-07-27,1,556,7600,769,1685
5744,2021-07-26,0,388,4594,761,7825
5743,2021-07-23,4,378,1012,681,0611
5742,2021-07-22,3,764,9921,948,1568
5741,2021-07-21,2,803,6438,947,9272
5740,2021-07-20,1,900,5038,046,9012
5739,2021-07-19,0,415,6109,659,8668
5738,2021-07-16,4,090,5104,749,1454
5737,2021-07-15,3,920,0678,619,9007
5736,2021-07-14,2,740,6992,023,3045
5735,2021-07-13,1,293,5211,339,9977
5734,2021-07-12,0,768,6915,775,6168
5733,2021-07-09,4,292,1585,436,9322
5732,2021-07-08,3,758,1903,200,4294
5731,2021-07-07,2,888,8023,785,8146
5730,2021-07-06,1,641,3130,093,2639
5729,2021-07-05,0,591,8819,568,4318
5728,2021-07-02,4,759,1382,488,8406
5727,2021-07-01,3,472,8941,913,8914
5726,2021-06-30,2,389,1275,395,7714
5725,2021-06-29,1,736,3268,702,8905
5724,2021-06-28,0,479,5047,653,8378
5723,2021-06-25,4,093,2479,069,9561
5722,2021-06-24,3,153,2920,873,7558
5721,2021-06-23,2,836,0892,961,2312
5720,2021-06-22,1,400,0130,754,1254
5719,2021-06-21,0,367,9136,640,7803
5718,2021-06-18,4,752,7158,174,6656
5717,2021-06-17,3,089,6637,500,3443
5716,2021-06-16,2,553,3555,421,6816
5715,2021-06-15,1,108,4730,312,3120
5714,2021-06-14,0,901,6894,492,2324
5713,2021-06-11,4,695,4903,948,3214
5712,2021-06-10,3,746,9232,426,4851
5711,2021-06-09,2,736,0625,119,6086
5710,2021-06-08,1,841,1505,788,9481
5709,2021-06-07,0,118,2759,669,0526
5708,2021-06-04,4,227,5198,501,7836
5707,2021-06-03,3,633,6469,252,5928
5706,2021-06-02,2,948,1995,222,4257
5705,2021-06-01,1,117,9087,877,8586
5704,2021-05-31,0,493,5783,736,0440
5703,2021-05-28,4,282,7368,734,9866
5702,2021-05-27,3,635,0824,989,4948
5701,2021-05-26,2,576,1082,681,8956
5700,2021-05-25,1,369,5941,573,8232
5699,2021-05-24,0,052,2734,157,1124
5698,2021-05-21,4,151,0099,494,6310
5697,2021-05-20,3,130,5815,414,2869
5696,2021-05-19,2,855,6075,247,7060
5695,2021-05-18,1,270,1482,039,7872
5694,2021-05-17,0,615,1790,838,7712
5693,2021-05-14,4,863,5039,145,2182
5692,2021-05-13,3,958,0448,220,9728
5691,2021-05-12,2,265,1685,272,9600
5690,2021-05-11,1,753,4213,384,1326
5689,2021-05-10,0,860,2788,559,9830
5688,2021-05-07,4,068,0982,540,0995
5687,2021-05-06,3,475,3598,997,0542
5686,2021-05-05,2,782,6137,570,9359
5685,2021-05-04,1,465,0388,640,7640
5684,2021-05-03,0,971,4423,323,5308
5683,2021-04-30,4,050,9672,720,4240
5682,2021-04-29,3,755,2307,197,8449
5681,2021-04-28,2,537,2801,574,4618
5680,2021-04-27,1,053,3193,511,0107
5679,2021-04-26,0,109,3793,037,6915
5678,2021-04-23,4,762,9706,591,0611
5677,2021-04-22,3,148,7294,284,4357
5676,2021-04-21,2,258,1798,521,1761
5675,2021-04-20,1,526,5063,523,3700
5674,2021-04-19,0,750,5711,519,8072
5673,2021-04-16,4,623,0788,192,9425
5672,2021-04-15,3,016,2778,875,7445
5671,2021-04-14,2,680,6017,062,8784
5670,2021-04-13,1,136,7330,994,9977
5669,2021-04-12,0,178,2524,521,3439
5668,2021-04-09,4,684,3745,808,7729
5667,2021-04-08,3,611,8505,202,1766
5666,2021-04-07,2,742,9142,265,4889
5665,2021-04-06,1,053,2145,713,7952
5664,2021-04-05,0,415,0871,868,4895
5663,2021-04-02,4,933,0362,701,6682
5662,2021-04-01,3,655,6215,089,3254
5661,2021-03-31,2,985,9997,449,0143
5660,2021-03-30,1,526,0269,532,6904
5659,2021-03-29,0,574,5681,620,0047
5658,2021-03-26,4,020,8114,968,9523
5657,2021-03-25,3,548,3658,563,0284
5656,2021-03-24,2,876,3193,999,6510
5655,2021-03-23,1,369,2510,211,9948
5654,2021-03-22,0,048,3237,400,3883
5653,2021-03-19,4,989,4167,887,8536
5652,2021-03-18,3,347,7369,512,6678
5651,2021-03-17,2,881,5553,032,6186
5650,2021-03-16,1,642,3853,447,5568
5649,2021-03-15,0,351,3557,168,3995
5648,2021-03-12,4,759,2979,193,1543
5647,2021-03-11,3,767,6030,361,6970
5646,2021-03-10,2,566,2925,499,1582
5645,2021-03-09,1,807,3930,321,5764
5644,2021-03-08,0,097,6290,692,8956
5643,2021-03-05,4,831,4525,641,8721
5642,2021-03-04,3,931,3364,229,5615
5641,2021-03-03,2,291,2658,232,2946
5640,2021-03-02,1,934,8117,222,6412
5639,2021-03-01,0,246,5378,696,5124
5638,2021-02-26,4,298,9691,678,7198
5637,2021-02-25,3,997,9613,653,1427
5636,2021-02-24,2,385,9491,889,3578
5635,2021-02-23,1,862,1968,398,1503
5634,2021-02-22,0,179,4246,106,6684
5633,2021-02-19,4,154,8886,311,0125
5632,2021-02-18,3,912,9635,517,7279
5631,2021-02-17,2,003,2968,150,7434
5630,2021-02-16,1,785,6901,072,0793
5629,2021-02-15,0,744,7944,684,3365
5628,2021-02-12,4,000,6012,568,5570
5627,2021-02-11,3,641,3840,316,1305
5626,2021-02-10,2,843,4377,826,7746
5625,2021-02-09,1,486,4728,605,5946
5624,2021-02-08,0,357,6587,169,1103
5623,2021-02-05,4,281,3110,069,9828
5622,2021-02-04,3,704,0169,804,5012
5621,2021-02-03,2,398,8752,955,9803
5620,2021-02-02,1,509,7148,711,1071
